Datetime,Measurement,Presence
25/12/2018 15:30,5.503630638,Yes
25/12/2018 15:30,20.17452717,Yes
25/12/2018 15:31,22.90998697,Yes
25/12/2018 15:32,29.51352596,Yes
25/12/2018 15:32,22.39069939,Yes
25/12/2018 15:34,26.17291212,Yes
25/12/2018 15:37,29.40721512,Yes
25/12/2018 15:39,26.39780045,Yes
25/12/2018 15:39,27.52633095,Yes
25/12/2018 15:47,29.41539288,Yes
25/12/2018 15:49,14.96529579,Yes
25/12/2018 15:49,17.81115532,Yes
25/12/2018 15:50,10.34077406,Yes
25/12/2018 15:53,25.71086884,Yes
25/12/2018 15:54,27.37913132,Yes
25/12/2018 15:54,10.18539667,Yes
25/12/2018 15:54,23.99353981,Yes
25/12/2018 15:58,28.75299454,Yes
25/12/2018 15:59,23.22891951,Yes
25/12/2018 15:59,24.44331646,Yes
25/12/2018 15:59,28.92063856,Yes
25/12/2018 15:59,15.85258245,Yes
25/12/2018 15:59,18.15871,Yes
25/12/2018 15:59,18.60439777,Yes
25/12/2018 16:00,17.55764484,Yes
25/12/2018 16:00,29.87334728,Yes
25/12/2018 16:00,20.98003626,Yes
25/12/2018 16:00,25.96029043,Yes
25/12/2018 16:00,29.64845896,Yes
25/12/2018 16:00,26.74535513,Yes
25/12/2018 16:00,26.54908895,Yes
25/12/2018 16:00,13.35427761,Yes
25/12/2018 16:01,26.16882324,Yes
25/12/2018 16:01,9.743797779,Yes
25/12/2018 16:01,17.57808924,Yes
25/12/2018 16:01,23.87496233,Yes
25/12/2018 16:02,29.78748083,Yes
25/12/2018 16:03,14.66271877,Yes
25/12/2018 16:04,29.7752142,Yes
25/12/2018 16:04,19.62661743,Yes
25/12/2018 16:04,29.30090427,Yes
25/12/2018 16:05,29.93468046,Yes
25/12/2018 16:06,26.97024345,Yes
25/12/2018 16:07,20.74697018,Yes
25/12/2018 16:07,20.58341503,Yes
25/12/2018 16:08,18.04831028,Yes
25/12/2018 16:08,13.2806778,Yes
25/12/2018 16:09,29.6975255,Yes
25/12/2018 16:09,9.220421314,Yes
25/12/2018 16:09,22.60332108,Yes
25/12/2018 16:10,25.10162592,Yes
25/12/2018 16:10,29.66481447,Yes
25/12/2018 16:10,14.96529579,Yes
25/12/2018 16:10,20.64883709,Yes
25/12/2018 16:11,17.61488914,Yes
25/12/2018 16:12,17.90519953,Yes
25/12/2018 16:14,19.27088499,Yes
25/12/2018 16:21,25.48189163,Yes
25/12/2018 16:21,28.72437239,Yes
25/12/2018 16:22,29.43992615,Yes
25/12/2018 16:23,15.901649,Yes
25/12/2018 16:25,22.27621078,Yes
25/12/2018 16:25,28.01699638,Yes
