Date,Time,Measurement,Presence
25/12/2018,23:21:37,26.02571249,Yes
25/12/2018,23:21:41,29.21094894,Yes
25/12/2018,23:21:59,18.49399805,Yes
25/12/2018,23:22:30,4.465055466,Yes
25/12/2018,23:22:40,29.66890335,Yes
25/12/2018,23:22:43,25.75993538,Yes
25/12/2018,23:22:45,22.90180922,Yes
25/12/2018,23:23:33,20.36261559,Yes
25/12/2018,23:23:53,13.2806778,Yes
25/12/2018,23:23:58,19.7860837,Yes
25/12/2018,23:28:22,23.64189625,Yes
25/12/2018,23:29:12,24.75816011,Yes
25/12/2018,23:29:22,21.27443552,Yes
25/12/2018,23:32:55,15.52956104,Yes
25/12/2018,23:44:23,18.293643,Yes
25/12/2018,23:45:24,29.0473938,Yes
25/12/2018,23:48:55,23.88722897,Yes
25/12/2018,23:57:11,20.96776962,Yes
25/12/2018,23:58:50,25.15478134,Yes
26/12/2018,00:03:20,25.00349283,Yes
26/12/2018,00:03:24,29.89379168,Yes
26/12/2018,00:04:55,23.80545139,Yes
26/12/2018,00:07:06,13.16210032,Yes
26/12/2018,00:20:55,20.08866072,Yes
26/12/2018,00:36:45,19.78199482,Yes
26/12/2018,00:49:29,25.75993538,Yes
26/12/2018,00:49:34,29.84472513,Yes
26/12/2018,00:49:55,25.1629591,Yes
26/12/2018,08:15:55,19.73701715,Yes
26/12/2018,08:22:29,16.27373695,Yes
26/12/2018,08:22:31,26.81895494,Yes
26/12/2018,08:22:34,21.60563469,Yes
26/12/2018,08:22:41,18.06875467,Yes
26/12/2018,08:22:57,21.62607908,Yes
26/12/2018,08:23:08,14.20067549,Yes
26/12/2018,08:23:21,23.16349745,Yes
26/12/2018,08:23:23,25.66998005,Yes
26/12/2018,08:23:26,29.61165905,Yes
26/12/2018,08:23:57,24.66411591,Yes
26/12/2018,08:25:51,29.11690474,Yes
26/12/2018,08:26:03,22.14127779,Yes
26/12/2018,08:31:44,27.96792984,Yes
26/12/2018,08:46:55,23.90358448,Yes
26/12/2018,09:02:55,23.90358448,Yes
26/12/2018,09:18:55,19.7860837,Yes
26/12/2018,09:34:55,23.96082878,Yes
26/12/2018,09:50:55,23.91176224,Yes
26/12/2018,10:06:44,27.97201872,Yes
26/12/2018,10:15:45,18.41630936,Yes
26/12/2018,10:16:20,29.55850363,Yes
26/12/2018,10:17:35,19.6511507,Yes
26/12/2018,10:17:40,22.38252163,Yes
26/12/2018,10:18:16,15.81169367,Yes
26/12/2018,10:18:59,5.843007565,Yes
