Datetime,Weather,Wind_speed,humidity,temperature
2018-12-28 17:30:00,5.0,7.949999999999999,72.0,20.0
2018-12-28 18:00:00,5.0,7.7,74.5,19.5
2018-12-28 18:30:00,5.0,7.7,77.0,19.0
2018-12-28 19:00:00,5.0,7.45,77.0,19.0
2018-12-28 19:30:00,5.0,7.2,77.0,19.0
2018-12-28 20:00:00,5.0,5.9,79.5,18.5
2018-12-28 20:30:00,4.5,5.15,79.5,18.0
2018-12-28 21:00:00,4.0,5.4,77.0,18.0
2018-12-28 21:30:00,4.0,5.65,74.5,18.5
2018-12-28 22:00:00,4.0,5.65,77.0,18.5
2018-12-28 22:30:00,4.0,5.4,79.5,18.0
2018-12-28 23:00:00,4.0,5.4,77.0,18.0
2018-12-28 23:30:00,4.0,5.4,77.0,18.0
2018-12-29 00:00:00,3.5,5.95,77.0,18.0
2018-12-29 00:30:00,3.0,5.95,74.5,18.0
2018-12-29 01:00:00,3.0,5.95,74.5,17.5
2018-12-29 01:30:00,3.0,6.2,74.5,17.0
2018-12-29 02:00:00,3.0,6.2,72.0,17.0
2018-12-29 02:30:00,3.0,6.2,72.0,17.0
2018-12-29 03:00:00,3.0,5.95,72.0,17.0
2018-12-29 03:30:00,3.0,5.95,69.5,17.0
2018-12-29 04:00:00,3.0,6.2,69.5,17.0
2018-12-29 04:30:00,3.0,6.7,67.5,17.5
2018-12-29 05:00:00,3.5,7.2,63.0,18.0
2018-12-29 05:30:00,4.0,7.2,63.0,18.0
2018-12-29 06:00:00,4.0,7.7,63.0,18.0
2018-12-29 06:30:00,4.0,6.2,63.0,18.0
2018-12-29 07:00:00,4.0,5.7,59.0,18.0
2018-12-29 07:30:00,4.0,6.7,59.0,19.0
2018-12-29 08:00:00,3.0,6.2,63.0,19.0
2018-12-29 08:30:00,3.0,6.7,63.0,19.0
2018-12-29 09:00:00,4.0,6.7,61.0,19.0
2018-12-29 09:30:00,3.0,5.1,68.0,19.0
2018-12-29 10:00:00,5.0,9.3,60.0,20.0
2018-12-29 10:30:00,5.0,9.3,56.0,20.0
2018-12-29 11:00:00,5.0,9.3,52.0,21.0
2018-12-29 11:30:00,5.0,7.7,52.0,21.0
2018-12-29 12:00:00,4.0,8.7,52.0,21.0
2018-12-29 12:30:00,4.0,8.2,60.0,21.0
2018-12-29 13:00:00,5.0,9.3,52.0,21.0
2018-12-29 13:30:00,5.0,9.8,49.0,22.0
2018-12-29 14:00:00,5.0,8.7,56.0,21.0
2018-12-29 14:30:00,5.0,7.7,60.0,21.0
2018-12-29 15:00:00,5.0,8.2,58.0,21.0
2018-12-29 15:30:00,4.5,7.699999999999999,62.0,20.5
2018-12-29 16:00:00,4.0,6.95,64.0,20.0
2018-12-29 16:30:00,3.5,6.95,64.0,20.0
2018-12-29 17:00:00,3.0,7.2,64.0,20.0
2018-12-29 17:30:00,3.0,6.7,60.0,20.0
2018-12-29 18:00:00,3.0,6.45,64.0,19.5
2018-12-29 18:30:00,3.0,6.2,68.0,19.0
2018-12-29 19:00:00,3.0,6.45,65.5,19.0
2018-12-29 19:30:00,3.0,6.2,63.0,19.0
2018-12-29 20:00:00,3.0,5.15,63.0,19.0
2018-12-29 20:30:00,3.5,4.35,57.5,19.0
2018-12-29 21:00:00,4.0,3.8499999999999996,60.0,18.5
2018-12-29 21:30:00,3.5,3.8499999999999996,63.5,18.5
2018-12-29 22:00:00,3.0,4.6,57.0,19.0
2018-12-29 22:30:00,3.0,4.85,53.5,19.0
2018-12-29 23:00:00,3.0,4.35,52.0,19.0
2018-12-29 23:30:00,3.0,3.8499999999999996,52.0,19.0
2018-12-30 00:00:00,2.0,3.8499999999999996,62.0,19.0
2018-12-30 00:30:00,1.0,3.5999999999999996,77.0,18.5
2018-12-30 01:00:00,2.0,3.5999999999999996,79.5,17.5
2018-12-30 01:30:00,3.0,3.8499999999999996,74.5,17.5
2018-12-30 02:00:00,3.0,3.6,72.0,17.5
2018-12-30 02:30:00,3.0,3.6,70.0,17.5
2018-12-30 03:00:00,3.5,3.6,70.0,17.5
2018-12-30 03:30:00,4.0,3.35,72.0,16.5
2018-12-30 04:00:00,3.5,3.1,72.0,16.0
2018-12-30 04:30:00,3.0,3.1,69.5,16.5
2018-12-30 05:00:00,3.0,3.35,65.0,17.5
2018-12-30 05:30:00,3.0,3.6,67.5,17.5
2018-12-30 06:00:00,3.0,3.6,72.0,17.0
